,pclass,age,embarked,sex,survived
0,1,47.0000,1,1,0
1,1,64.0000,0,1,0
2,1,60.0000,0,0,1
3,1,60.0000,0,1,0
4,1,55.0000,0,0,1
5,1,54.0000,1,1,0
6,1,21.0000,1,1,0
7,1,57.0000,1,1,0
8,1,45.0000,1,0,1
9,1,31.0000,1,0,1
10,1,50.0000,0,1,0
11,1,50.0000,0,0,1
12,1,27.0000,0,1,0
13,1,20.0000,1,0,1
14,1,51.0000,0,1,0
15,1,21.0000,0,1,0
16,1,36.0000,0,0,1
17,2,28.0000,1,0,1
18,2,23.0000,1,1,0
19,2,12.0000,1,0,1
20,2,40.0000,1,0,1
21,2,36.0000,1,0,1
22,2,28.0000,1,1,0
23,2,32.0000,1,0,1
24,2,29.0000,1,0,1
25,2,4.0000,1,0,1
26,2,2.0000,1,1,1
27,2,36.0000,1,1,0
28,2,33.0000,1,0,1
29,2,32.0000,1,1,0
30,2,26.0000,1,0,1
31,2,30.0000,1,1,0
32,2,24.0000,1,0,1
33,2,18.0000,1,1,0
34,3,37.0000,1,1,0
35,3,28.0000,1,1,0
36,3,19.0000,1,1,0
37,3,1.0000,1,1,1
38,3,0.1667,1,0,1
39,3,25.0000,1,1,0
40,3,36.0000,1,1,0
41,3,36.0000,1,0,0
42,3,30.0000,1,1,0
43,3,19.0000,1,1,0
44,3,23.0000,1,1,0
45,3,26.0000,1,1,0
46,3,19.0000,2,0,0
47,3,65.0000,2,1,0
48,3,42.0000,1,1,0
49,3,43.0000,1,1,0
50,3,32.0000,2,1,0
51,3,19.0000,1,1,0
52,3,30.0000,1,0,0
53,3,24.0000,2,0,0
54,3,23.0000,1,0,0
55,3,24.0000,2,0,0
56,3,24.0000,1,1,0
57,3,23.0000,1,1,0
58,3,22.0000,1,0,0
59,3,18.0000,1,1,0
60,3,16.0000,1,1,0
61,3,45.0000,1,1,0
62,3,47.0000,1,1,0
63,3,5.0000,1,0,1
64,3,21.0000,1,0,0
65,3,18.0000,1,1,0
66,3,9.0000,1,0,1
67,3,48.0000,1,0,0
68,3,16.0000,1,1,0
69,3,25.0000,2,1,0
70,3,22.0000,1,1,0
71,3,16.0000,2,0,0
72,3,33.0000,1,1,0
73,3,9.0000,1,1,0
74,3,41.0000,1,1,0
75,3,38.0000,1,1,0
76,3,40.0000,1,1,0
77,3,43.0000,1,0,0
78,3,14.0000,1,1,0
79,3,16.0000,1,0,1
80,3,9.0000,1,1,0
81,3,10.0000,1,0,1
82,3,6.0000,1,1,0
83,3,11.0000,1,1,0
84,3,40.0000,1,1,0
85,3,32.0000,1,1,0
86,3,20.0000,1,1,0
87,3,37.0000,1,1,0
88,3,28.0000,1,1,0
