,income
0,19500
1,13500
2,33600
3,36300
4,18100
5,29700
6,17400
7,36800
8,28300
9,15300
10,32400
11,36000
12,15700
13,29500
14,13000
15,23200
16,11100
17,28800
18,27500
19,31400
20,27300
21,12300
22,29000
23,27900
24,17400
25,27900
26,37500
27,42100
28,21500
29,29400
30,35200
31,21900
32,33600
33,27600
34,26200
35,28700
36,25800
37,9100
38,31100
39,34000
40,15300
41,37400
42,18100
43,14400
44,28700
45,24100
46,8600
47,22900
48,19300
49,23900
50,47000
51,27800
52,30200
53,22400
54,19900
55,17600
56,30100
57,34000
58,30200
59,28500
60,36800
61,31600
62,38300
63,20800
64,38000
65,23100
66,28900
67,21700
68,16100
69,24300
70,31800
71,28900
72,29400
73,20800
74,34600
75,9100
76,29800
77,23500
78,30800
79,15600
80,43500
81,31700
82,22200
83,15300
84,14800
85,33100
86,29500
87,37300
88,28900
89,20200
90,28000
91,31000
92,33300
93,38800
94,24000
95,23300
96,14600
97,26100
98,33300
99,39200
100,35100
101,33200
102,21000
103,8600
104,37600
105,36000
106,34300
107,33200
108,32000
109,21500
110,16600
111,27400
112,26900
113,23600
114,38400
115,30100
116,16100
117,27600
118,15900
119,37700
120,28900
121,26900
122,31300
123,33100
124,35600
125,30200
126,23600
127,18900
128,18700
129,28800
130,31000
131,25000
132,28600
133,30800
134,36000
135,21200
136,24200
137,12400
138,36800
139,36500
140,26700
141,32500
142,17000
143,34900
144,32500
145,27100
146,25900
147,12300
148,33900
149,32200
150,19800
151,4400
152,34000
153,18600
154,19200
155,31800
156,27700
157,23200
158,34400
159,20400
160,31100
161,24100
162,34100
163,33200
164,29000
165,27600
166,30200
167,15500
168,36000
169,25900
170,28400
171,32100
172,13700
173,30600
174,34800
175,25600
176,18800
177,43800
178,23600
179,29500
180,45700
181,30100
182,25200
183,33200
184,27200
185,29700
186,33900
187,19900
188,21300
189,29200
190,31800
191,28800
192,30100
193,23600
194,32600
195,24100
196,30600
197,32300
198,30700
199,14200
200,28200
201,39000
202,26400
203,44700
204,26100
205,27000
206,14200
207,4300
208,21100
209,23800
210,35700
211,24300
212,28400
213,19500
214,23000
215,29300
216,31300
217,6100
218,43000
219,25300
220,33400
221,13800
222,36500
223,21900
224,15600
225,21300
226,41900
227,26500
228,18200
229,40700
230,37400
231,27700
232,28700
233,25000
234,23000
235,29300
236,26700
237,28400
238,28500
239,28200
240,28500
241,17800
242,27200
243,27200
244,25400
245,23300
246,23000
247,30000
248,19900
249,25300
250,33200
251,21400
252,24100
253,14100
254,11500
255,32500
256,27500
257,27700
258,21600
259,27700
260,35700
261,30700
262,33400
263,30500
264,37000
265,31000
266,35800
267,28300
268,21800
269,36900
270,29500
271,34100
272,4800
273,30800
274,26300
275,39900
276,31400
277,28400
278,27000
279,31700
280,20800
281,4500
282,21500
283,26000
284,19200
285,29200
286,30300
287,38500
288,13500
289,34100
290,31100
291,15000
292,39700
293,15600
