,money,wandering_time
0,548.0,32
1,491.0,205
2,445.0,217
3,568.0,56
4,705.0,166
5,567.0,119
6,487.0,197
7,585.0,104
8,622.0,147
9,519.0,34
10,368.0,255
11,419.0,243
12,621.0,137
13,542.0,194
14,356.0,247
15,459.0,73
16,247.0,293
17,452.0,173
18,474.0,39
19,336.0,285
20,487.0,56
21,553.0,309
22,538.0,362
23,524.0,158
24,520.0,34
25,268.0,289
26,464.0,220
27,495.0,181
28,281.0,309
29,535.0,174
30,468.0,230
31,643.0,267
32,537.0,150
33,490.0,22
34,425.0,213
35,524.0,19
36,489.0,523
37,589.0,118
38,628.0,269
39,495.0,184
40,245.0,657
41,519.0,76
42,371.0,285
43,501.0,178
44,590.0,91
45,332.0,269
46,572.0,275
47,452.0,213
48,342.0,270
49,383.0,251
50,360.0,285
51,589.0,263
52,502.0,192
53,664.0,163
54,375.0,247
55,492.0,129
56,389.0,237
57,405.0,224
58,249.0,322
59,489.0,173
60,412.0,220
61,448.0,205
62,478.0,56
63,14.0,7
64,517.0,158
65,327.0,298
66,492.0,129
67,500.0,192
68,527.0,37
69,541.0,21
70,482.0,172
71,534.0,155
72,468.0,206
73,574.0,128
74,338.0,283
75,599.0,326
76,609.0,634
77,572.0,275
78,495.0,204
79,381.0,230
80,539.0,162
81,575.0,229
82,371.0,247
83,601.0,242
84,306.0,262
85,410.0,206
86,525.0,31
87,668.0,192
88,519.0,189
89,668.0,192
90,455.0,220
91,492.0,36
92,411.0,123
93,515.0,31
94,492.0,180
95,554.0,113
96,470.0,609
97,347.0,259
98,500.0,182
99,438.0,217
100,466.0,202
101,509.0,177
102,390.0,230
103,538.0,362
104,338.0,202
105,544.0,137
106,196.0,14
107,612.0,143
108,507.0,159
109,419.0,239
110,410.0,205
111,519.0,179
112,387.0,257
113,636.0,144
114,568.0,56
115,553.0,309
116,499.0,190
117,529.0,305
118,439.0,87
119,567.0,149
120,295.0,319
121,705.0,166
122,609.0,634
123,467.0,218
124,638.0,214
125,571.0,155
126,609.0,634
127,518.0,21
128,618.0,118
129,520.0,166
130,247.0,331
131,394.0,88
132,529.0,305
133,449.0,198
134,597.0,127
135,477.0,173
136,589.0,263
137,541.0,21
138,221.0,344
139,664.0,163
140,457.0,185
141,568.0,56
142,331.0,266
143,413.0,218
144,464.0,18
145,503.0,183
146,575.0,229
147,298.0,287
148,515.0,48
149,489.0,417
150,660.0,191
151,522.0,147
152,398.0,236
153,558.0,35
154,352.0,236
155,316.0,267
156,599.0,326
157,532.0,167
158,467.0,169
159,470.0,609
160,489.0,417
161,361.0,260
162,489.0,523
163,493.0,348
164,352.0,242
165,493.0,348
166,536.0,142
167,568.0,56
168,560.0,139
169,542.0,33
170,229.0,328
171,514.0,135
172,431.0,221
173,484.0,202
174,601.0,242
175,643.0,267
176,361.0,244
177,488.0,80
178,245.0,657
179,380.0,473
180,432.0,225
181,421.0,197
182,516.0,159
183,541.0,163
184,412.0,215
185,265.0,309
186,628.0,269
187,495.0,181
188,380.0,473
189,493.0,161
190,522.0,147
191,638.0,214
192,470.0,609
193,619.0,106
194,609.0,634
195,453.0,192
196,466.0,197
197,660.0,191
198,335.0,255
199,503.0,188
200,554.0,274
201,563.0,125
202,554.0,274
203,538.0,128
204,327.0,248
205,515.0,162
206,489.0,523
207,241.0,339
208,423.0,215
209,388.0,202
