,money,wandering_time
0,518.0,305
1,397.0,217
2,506.0,150
3,463.0,215
4,287.0,312
5,499.0,127
6,611.0,127
7,516.0,19
8,578.0,331
9,558.0,311
10,409.0,492
11,596.0,297
12,526.0,48
13,566.0,439
14,555.0,76
15,527.0,160
16,463.0,159
17,537.0,22
18,495.0,315
19,578.0,577
20,491.0,67
21,314.0,274
22,596.0,92
23,491.0,792
24,382.0,468
25,422.0,235
26,466.0,186
27,407.0,512
28,565.0,280
29,539.0,51
30,469.0,190
31,464.0,227
32,525.0,22
33,614.0,154
34,204.0,312
35,508.0,72
36,490.0,180
37,535.0,121
38,443.0,57
39,441.0,446
40,419.0,196
41,495.0,315
42,606.0,407
43,497.0,134
44,516.0,19
45,628.0,94
46,652.0,409
47,281.0,623
48,412.0,224
49,543.0,130
50,212.0,352
51,526.0,132
52,317.0,284
53,528.0,19
54,587.0,158
55,496.0,191
56,484.0,197
57,380.0,219
58,469.0,36
59,566.0,439
60,482.0,173
61,430.0,444
62,437.0,201
63,401.0,154
64,491.0,200
65,431.0,223
66,482.0,164
67,524.0,173
68,389.0,175
69,535.0,248
70,367.0,225
71,380.0,265
72,364.0,237
73,595.0,287
74,596.0,92
75,577.0,326
76,371.0,11
77,349.0,249
78,508.0,164
79,403.0,173
80,550.0,130
81,641.0,346
82,659.0,176
83,492.0,42
84,468.0,44
85,508.0,38
86,561.0,114
87,486.0,13
88,592.0,128
89,468.0,44
90,301.0,310
91,643.0,216
92,505.0,174
93,326.0,262
94,491.0,792
95,210.0,313
96,414.0,179
97,522.0,326
98,551.0,158
99,577.0,85
100,551.0,138
101,470.0,35
102,588.0,96
103,575.0,332
104,492.0,201
105,491.0,134
106,364.0,227
107,464.0,44
108,717.0,223
109,521.0,386
110,441.0,208
111,382.0,468
112,206.0,333
113,403.0,505
114,320.0,277
115,713.0,189
116,568.0,132
117,378.0,253
118,521.0,190
119,513.0,352
120,543.0,164
121,334.0,624
122,535.0,22
123,437.0,199
124,410.0,470
125,507.0,277
126,337.0,266
127,443.0,46
128,645.0,97
129,336.0,282
130,558.0,311
131,545.0,191
132,456.0,450
133,532.0,34
134,578.0,577
135,495.0,169
136,504.0,65
137,518.0,196
138,439.0,225
139,544.0,127
140,516.0,335
141,384.0,251
142,584.0,48
143,360.0,243
144,578.0,331
145,532.0,371
146,618.0,133
147,504.0,65
148,525.0,447
149,472.0,175
150,595.0,287
151,499.0,31
152,486.0,418
153,516.0,335
154,465.0,80
155,477.0,191
156,425.0,514
157,562.0,334
158,452.0,220
159,403.0,201
160,578.0,577
161,486.0,185
162,652.0,409
163,565.0,121
164,440.0,122
165,500.0,155
166,516.0,146
167,502.0,141
168,543.0,78
169,433.0,225
170,243.0,315
171,576.0,113
172,296.0,316
173,643.0,216
174,602.0,202
175,412.0,455
176,609.0,153
177,323.0,266
178,626.0,146
179,584.0,103
180,541.0,43
181,167.0,388
182,484.0,35
183,432.0,221
184,432.0,212
185,513.0,72
186,532.0,34
187,386.0,233
188,162.0,737
189,441.0,199
190,459.0,203
191,441.0,446
192,493.0,216
193,477.0,160
194,491.0,792
195,503.0,194
196,659.0,176
197,407.0,512
198,486.0,168
199,532.0,149
200,599.0,141
201,371.0,250
202,459.0,180
203,375.0,278
204,323.0,279
205,397.0,237
206,412.0,136
207,443.0,509
208,575.0,332
209,557.0,291
210,347.0,284
211,425.0,444
212,475.0,91
213,464.0,93
214,525.0,447
215,532.0,371
216,423.0,432
217,447.0,455
218,577.0,85
219,513.0,17
220,577.0,85
221,466.0,325
222,316.0,269
223,466.0,325
224,313.0,296
225,606.0,407
226,419.0,248
227,562.0,334
228,426.0,241
229,717.0,223
230,536.0,173
231,463.0,70
232,534.0,183
233,643.0,98
234,568.0,110
235,314.0,260
236,532.0,142
237,283.0,298
238,444.0,200
239,426.0,204
240,456.0,450
241,480.0,169
242,713.0,189
243,444.0,73
244,447.0,455
245,717.0,223
246,113.0,385
247,411.0,222
248,511.0,169
249,504.0,165
250,606.0,407
251,383.0,232
252,518.0,305
253,559.0,143
254,510.0,191
255,513.0,352
256,571.0,128
257,569.0,290
258,380.0,215
259,506.0,35
260,528.0,352
261,507.0,277
262,497.0,131
263,447.0,212
264,428.0,237
265,641.0,346
266,497.0,134
267,543.0,78
268,419.0,210
269,451.0,192
270,566.0,439
271,587.0,158
272,358.0,247
273,216.0,355
274,577.0,326
275,473.0,222
276,528.0,352
277,626.0,146
278,442.0,208
279,379.0,236
280,501.0,137
281,641.0,346
282,522.0,326
283,584.0,163
284,583.0,311
285,662.0,105
286,556.0,150
287,580.0,518
288,432.0,247
289,541.0,43
290,431.0,42
291,266.0,299
292,539.0,51
293,580.0,518
294,557.0,143
295,394.0,270
296,486.0,13
297,412.0,455
298,392.0,256
299,412.0,218
300,405.0,438
301,513.0,72
302,515.0,139
303,468.0,198
304,239.0,338
305,518.0,45
306,256.0,297
307,490.0,31
308,405.0,438
309,551.0,158
310,372.0,257
311,464.0,185
312,580.0,518
313,497.0,32
314,569.0,290
315,596.0,297
316,544.0,150
317,484.0,108
318,403.0,505
319,426.0,198
320,491.0,194
321,578.0,577
322,549.0,156
323,472.0,212
324,162.0,737
325,521.0,190
326,577.0,85
327,336.0,266
328,443.0,509
