,income
0,63900
1,60200
2,52600
3,25100
4,61200
5,42100
6,43800
7,54900
8,48000
9,59800
10,50500
11,60100
12,52100
13,57200
14,56500
15,58100
16,68200
17,47100
18,38700
19,63700
20,38400
21,48300
22,52400
23,57900
24,37400
25,47600
26,40700
27,41100
28,54500
29,60600
30,63200
31,44700
32,35100
33,59700
34,56300
35,41800
36,43900
37,36200
38,32700
39,63700
40,43200
41,54200
42,57900
43,50400
44,43200
45,32800
46,57000
47,43100
48,56700
49,39500
50,57200
51,59700
52,36200
53,34000
54,54000
55,45000
56,60600
57,55900
58,42900
59,40000
60,42000
61,47600
62,47700
63,59300
64,59600
65,47600
66,54300
67,40200
68,31400
69,59900
70,38700
71,48400
72,35800
73,52700
74,59600
75,58100
76,51300
77,51000
78,51500
79,28200
80,59400
81,46500
82,39200
83,56000
84,66000
85,24600
86,31500
87,29900
88,38300
89,53100
90,61400
91,48600
92,52500
93,49000
94,27500
95,57000
96,47600
97,38200
98,46100
99,56800
100,52100
101,67300
102,39300
103,56400
104,31900
105,49700
106,22900
107,60600
108,63100
109,47900
110,58600
111,49800
112,44500
113,52000
114,55100
115,56300
116,34700
117,51200
118,49300
119,56300
120,39300
121,55000
122,48500
123,62900
124,61200
125,53100
126,55700
127,58900
128,52600
129,48700
130,71700
131,58700
132,38000
133,54600
134,56200
135,43100
136,56800
137,62300
138,50500
139,55000
140,36800
141,55300
142,58600
143,40900
144,55300
145,61100
146,55300
147,27600
148,62300
149,31900
150,60600
151,64900
152,49700
153,60200
154,50300
155,41700
156,36000
157,36300
158,50400
159,47500
160,53700
161,52700
162,50000
163,52600
164,56200
165,51500
166,49500
167,56400
168,54800
169,66800
170,52700
171,42100
172,38100
173,52200
174,50300
175,28200
176,61400
177,45100
178,57300
179,66200
180,56900
181,53900
182,56800
183,58800
184,53500
185,55900
186,56900
187,54400
188,41100
189,35600
190,54600
191,54600
192,48000
193,38200
194,53700
195,39500
196,47900
197,49500
198,42900
199,41500
200,60700
201,56300
202,57700
203,45000
204,45400
205,61400
206,37900
207,27200
208,55600
209,51800
210,37000
211,44100
212,47200
213,43800
214,50100
215,50000
216,60100
217,58900
218,54900
219,59900
220,36600
221,44900
222,43700
223,41800
224,65000
225,54400
226,42500
227,50500
228,57200
229,60100
230,44500
231,68400
232,61300
