,income
0,50400
1,62500
2,42400
3,52700
4,45200
5,61900
6,48500
7,60500
8,30600
9,39000
10,53200
11,41800
12,54200
13,40400
14,64300
15,46500
16,43300
17,43500
18,30200
19,51500
20,51800
21,34200
22,51500
23,47700
24,33800
25,29800
26,59400
27,57400
28,57300
29,56900
30,37500
31,43800
32,56700
33,54200
34,44600
35,62700
36,54300
37,43300
38,65200
39,54000
40,58500
41,32800
42,56700
43,47200
44,43100
45,57000
46,55800
47,40500
48,51700
49,62500
50,70800
51,51100
52,38000
53,34700
54,43700
55,29600
56,56100
57,51400
58,64000
59,52800
60,53600
61,56100
62,41700
63,65500
64,48800
65,45200
66,46600
67,55900
68,38700
69,51000
70,41500
71,58800
72,57200
73,53100
74,51400
75,51000
76,55700
77,44100
78,51700
79,40900
80,61800
81,44600
82,60500
83,52800
84,39700
85,48800
86,47600
87,69700
88,34800
89,53600
90,52600
91,61400
92,64700
93,60500
94,58800
95,64200
96,40900
97,26100
98,54400
99,53500
100,38600
101,43100
102,47100
103,35200
104,33100
105,38900
106,32800
107,53100
108,56700
109,59800
110,55900
111,32500
112,62900
113,23900
114,63500
115,65800
116,57100
117,56100
118,31600
119,56100
120,41200
121,56300
122,60000
123,32500
124,39500
125,38400
126,42500
127,56300
128,26700
129,35500
130,51000
131,42600
132,46600
133,57700
134,64900
135,49300
136,52700
137,34800
138,57100
139,44200
140,54400
141,60800
142,68500
143,57400
144,57200
145,51300
146,44900
147,68200
148,63900
149,55000
150,38400
151,64400
152,48200
153,57200
154,66200
155,47600
156,48400
157,57100
158,54300
159,44700
160,59000
161,42700
162,63200
163,54600
164,46300
165,62100
166,52500
167,58700
168,60500
169,53500
170,53500
171,23600
172,61800
173,58700
174,51100
175,42100
176,38500
177,20400
178,53800
179,67900
180,58100
181,47900
182,62400
183,49000
184,27500
185,56300
186,57400
187,45800
188,50300
189,64000
190,45500
191,51900
192,58400
193,43000
194,52500
195,64700
196,51800
197,51200
198,53800
199,35900
200,40100
201,54100
202,61800
203,32800
204,45500
205,52400
206,55100
207,27800
208,64300
209,53600
210,51400
211,40200
212,50200
213,62800
214,51100
215,64100
216,52400
217,63700
218,33300
219,56000
220,32200
221,53600
222,59800
223,61200
224,65700
225,68100
226,29700
227,55600
228,57800
229,57200
230,60700
231,58000
232,37300
233,51800
234,40200
235,32500
236,65000
237,48400
238,54800
239,52500
240,61000
241,57300
242,56200
243,38500
244,59800
245,63900
246,54900
247,56900
248,26600
249,34200
250,27400
251,58100
252,59800
253,43700
254,38400
255,56600
256,56300
257,63900
258,31300
259,58200
260,62000
261,39600
262,51700
263,53000
264,26000
265,44500
266,55000
267,56300
268,60900
269,53000
270,49300
271,49100
272,54700
273,67600
274,29100
275,56700
276,51400
277,35900
278,63400
279,58600
280,66500
281,10800
282,48300
283,61300
284,61100
285,46400
286,52800
287,56600
288,57300
289,49100
290,66700
291,46500
292,55700
293,55100
294,45100
295,36800
296,58600
297,61600
298,38000
299,44100
300,50500
301,28700
302,51200
303,56800
304,44400
305,53000
306,54000
307,35000
308,43100
309,55000
310,32100
311,29300
312,51200
313,49900
314,58500
315,53200
316,27500
317,66700
318,70300
319,47400
320,54400
321,25400
322,56400
323,33800
324,40700
325,54500
326,41500
327,52100
328,56700
329,55000
330,56000
331,59200
332,49600
333,61100
334,37500
