,income
0,50700
1,51600
2,50300
3,66700
4,59100
5,55000
6,60900
7,58500
8,15600
9,53300
10,65000
11,59300
12,67900
13,49800
14,61600
15,42100
16,55300
17,58200
18,44100
19,62200
20,51700
21,49500
22,53800
23,59400
24,28400
25,56100
26,65400
27,53200
28,59900
29,44700
30,72200
31,66900
32,55300
33,48400
34,46800
35,68300
36,60200
37,65900
38,41200
39,63700
40,68900
41,33800
42,62600
43,59100
44,45200
45,58100
46,52900
47,58500
48,52900
49,60400
50,48400
51,34000
52,69500
53,39100
54,40900
55,35900
56,69500
57,49600
58,67600
59,59700
60,58200
61,48800
62,42800
63,59000
64,45000
65,68000
66,50700
67,38300
68,57700
69,56300
70,39100
71,44000
72,65300
73,57200
74,55400
75,43800
76,49300
77,40300
78,32200
79,57500
80,56200
81,46800
82,63900
83,49300
84,53500
85,45800
86,48300
87,36200
88,59200
89,49300
90,55300
91,44600
92,72600
93,41200
94,45200
95,63100
96,60500
97,59300
98,42200
99,54000
100,63200
101,53300
102,67200
103,37600
104,35000
105,49700
106,57400
107,43700
108,48400
109,53600
110,56200
111,58300
112,56100
113,49900
114,60600
115,55600
116,60800
117,53400
118,35100
119,51700
120,38800
121,48500
122,55100
123,59600
124,42900
125,55300
126,47900
127,49300
128,35900
129,60400
130,57700
131,39800
132,49600
133,32800
134,58000
135,64900
136,60100
137,56800
138,58300
139,60400
140,52800
141,59700
142,51000
143,56300
144,54600
145,48800
146,46900
147,49700
148,63900
149,55900
150,35900
151,66800
152,61200
153,61500
154,63600
155,56000
156,46900
157,65100
158,49800
159,52200
160,46700
161,44700
162,42900
163,51400
164,41700
165,60700
166,55300
167,50000
168,60900
169,49200
170,58800
171,52600
172,62100
173,46800
174,52100
175,62900
176,51600
177,36500
178,58600
179,40800
180,56300
181,49600
182,59100
183,61000
184,44700
185,55900
186,57100
187,53600
188,63000
189,54900
190,53900
191,57800
192,54700
193,52500
194,55300
195,42100
196,55400
197,46800
198,48900
199,56300
200,32800
201,58400
202,53200
203,38200
204,47200
205,66000
206,59100
207,44200
208,60900
209,55800
210,39400
211,52700
212,46500
213,38400
214,42800
215,46900
216,56300
217,39400
218,45400
219,54700
220,64300
221,39500
222,43200
223,37900
224,47900
225,58400
226,28200
227,34900
228,56400
229,61900
230,68100
231,57400
232,40100
233,53700
234,46300
235,57800
236,71000
237,65000
238,55700
239,56800
240,47800
241,53500
242,57800
243,28300
244,61700
245,53200
246,51800
247,57100
248,35800
249,38900
250,49900
251,63000
252,69200
253,59500
254,61400
255,58500
256,58100
257,46200
258,49000
259,61100
260,40600
261,61600
262,51900
263,58300
264,60300
265,48300
266,63200
267,55500
268,57100
269,59800
270,54200
271,60100
272,40600
273,50800
274,37400
275,70800
276,53000
277,47400
278,52500
279,56300
280,45600
281,10800
282,40500
283,52700
284,56500
285,65600
286,56000
287,56200
288,49300
289,50900
290,48300
291,54800
292,57400
293,59800
294,47900
295,64100
296,48800
297,53800
298,50100
299,67900
300,59200
301,47300
302,60200
303,64800
304,53600
305,52400
306,55300
307,60300
308,44800
309,57500
310,59300
311,60100
312,55400
313,64500
314,42600
315,46000
316,42800
317,60700
318,53200
319,54300
320,53200
321,47300
322,56900
323,55800
324,42900
325,50300
326,39000
327,58000
328,56400
329,39600
330,50600
331,53700
332,54100
333,59200
334,57800
335,44100
336,38100
337,52100
338,45300
339,56600
340,51900
341,66300
342,52900
343,50400
344,59700
345,51100
346,49300
347,38600
348,59900
349,50300
350,56200
351,65100
352,67700
353,59100
354,45600
355,66900
356,61700
357,41000
358,51900
359,55900
360,65700
361,57300
362,58200
363,19700
364,49400
365,43400
366,64100
367,33400
368,49700
369,59800
370,50700
371,43400
372,64800
373,55400
374,35800
375,49500
376,51300
377,52100
378,55100
379,28500
380,50400
381,42000
382,49300
383,55500
384,50200
385,66000
386,55400
387,54800
388,50600
389,47700
390,48600
391,47200
392,47200
393,42300
394,61400
395,57000
396,57900
397,60400
398,63600
399,26100
400,55900
401,58000
402,50600
403,26200
404,52300
405,38100
406,43600
407,45600
408,63400
409,60700
410,58300
411,51300
412,66400
413,40800
414,55100
415,55200
416,49500
417,66700
